 
(Cantidad de reviews, Score, Titulo)
(25, 4.5, 'Lewis Carroll: The Complete')
(25, 4.5, 'Walter Benjamin at the Dairy Queen : Reflections on Sixty and Beyond')
(24, 4.0, 'Evelina: Or')
(24, 4.5, 'The Art of Fiction : A Guide for Writers and Readers')
(24, 4.5, 'The Prisoner of Zenda ')
(24, 4.5, 'The Portable Henry Rollins')
(23, 4.5, 'The Wretched of the Earth')
(23, 4.0, 'How to Read Literature Like a Professor : A Lively and Entertaining Guide to Reading Between the Lines')
(23, 4.0, 'Literature Lost : Social Agendas and the Corruption of the Humanities')
(22, 4.5, 'Henry IV')
(22, 4.5, 'Staircase of a Thousand Steps')
(22, 4.0, 'The New Lifetime Reading Plan : The Classical Guide to World Literature')
(22, 4.5, 'Henry Iv')
(22, 4.0, 'The Thirty')
(22, 4.5, 'HENRY IV PART 1')
(22, 4.0, 'War Talk')
(22, 4.5, 'Companion To Narnia')
(22, 4.5, 'The Sagas of the Icelanders')
(21, 4.5, "Asimov's Guide to Shakespeare : A Guide to Understanding and Enjoying the Works of Shakespeare")
(21, 4.5, 'Slouching Towards Bethlehem ')
(21, 4.0, 'The DREAMS OUR STUFF IS MADE OF: How Science Fiction Conquered the World')
(21, 3.5, 'The Book on the Bookshelf ')
(21, 5.0, "Benet's Reader's Encyclopedia : Fourth Edition ")
(21, 2.5, 'The 100 Most Influential Books Ever Written: The History of Though from Ancient Times to Today')
(20, 3.0, "Psychopath's Bible")
(20, 4.5, 'Fifth Born : A Novel')
(19, 5.0, 'White Noise Critical : Text and Criticism ')
(19, 4.0, 'My Misspent Youth: Essays')
(19, 4.5, 'Medea ')
(19, 4.0, 'Something at the Window is Scratching')
(18, 4.5, 'The Life You Save May Be Your Own: An American Pilgrimage')
(18, 4.5, 'The Dao of Taijiquan: Way to Rejuvenation ')
(18, 4.5, 'The New Shorter Oxford English Dictionary ')
(18, 4.5, 'The Norton Anthology of American Literature: Shorter Edition')
(18, 4.0, 'Harbors and High Seas')
(18, 4.5, 'A Collection of Essays')
(18, 4.0, "The People's Guide to J")
(17, 5.0, 'The Friendly Shakespeare : A Thoroughly Painless Guide to the Best of the Bard')
(17, 4.5, 'Don Quijote: A New Translation')
(17, 3.0, "Nathaniel Hawthorne's the Scarlet Letter: Bloom's Notes ")
(17, 4.0, "I'll Take My Stand: The South and the Agrarian Tradition ")
(17, 4.5, 'Goodbye to a River')
(17, 3.0, 'Something for the Boys: Musical Theater and Gay Culture')
(17, 4.5, 'J')
(17, 4.5, "The Winter's Tale ")
(17, 4.0, 'A Dream Deferred : The Second Betrayal of Black Freedom in America')
(16, 4.5, 'King Richard III ')
(16, 3.5, "Emily Bronte's Wuthering Heights ")
(16, 4.5, 'The Saga of the Volsungs: The Norse Epic of Sigurd the Dragon Slayer')
(15, 4.0, 'Chicana Falsa : And Other Stories of Death')
(15, 4.0, 'The Bible and Homosexual Practice: Texts and Hermeneutics')
(15, 3.5, 'Where the Stress Falls: Essays')
(15, 3.5, 'The Last Avant')
(15, 4.0, 'The Bible and Homosexual Practice: Texts and Hermeneutics')
(15, 3.5, 'Where the Stress Falls')
(15, 5.0, 'Kant and the Platypus: Essays on Language and Cognition')
(15, 5.0, 'Kant and the Platypus: Essays')
(15, 4.0, 'Inventing the Middle Ages')
(15, 4.0, "The FBI: Inside the World's Most Powerful Law Enforcement Agency")
(15, 4.5, 'St')
(14, 5.0, 'Ulysses Annotated')
(14, 5.0, 'The Selected Journals of L')
(14, 5.0, 'The Selected Journals of L')
(14, 4.5, 'Literary Theory: A Very Short Introduction ')
(14, 4.0, 'Happy All the Time: A Novel')
(14, 4.0, 'Me and Shakespeare : Life')
(14, 4.0, "How to Write a Children's Book and Get It Published")
(14, 4.0, 'Who Wrote Shakespeare')
(14, 3.5, 'Regarding the Pain of Others')
(14, 4.5, 'Meditations from a Movable Chair ')
(14, 5.0, "Hope's Edge: The Next Diet for a Small Planet")
(14, 3.0, 'On Beauty and Being Just')
(14, 3.0, 'On Beauty and Being Just')
(14, 4.5, 'Three Uses of the Knife')
(14, 5.0, 'For the Love of Books: 115 Celebrated Writers on the Books They Love Most')
(14, 5.0, 'The Edge: The Guide to Fulfilling Dreams')
(14, 5.0, 'Topper ')
(13, 4.0, 'In the Shadow of the Dreamchild: A New Understanding of Lewis Carroll')
(13, 4.5, 'The Florence King Reader')
(13, 4.0, 'The Ronin: A Novel Based on a Zen Myth')
(13, 4.5, 'The Anatomy of Melancholy ')
(13, 4.0, "A Passion for Books : A Book Lover's Treasury of Stories")
(13, 4.5, '100 Banned Books: Censorship Histories of World Literature')
(13, 4.0, 'Anatomy of Criticism: Four Essays')
(13, 4.0, "A Passion for Books : A Book Lover's Treasury of Stories")
(13, 4.0, 'Anti')
(13, 4.0, 'Nostradamus and His Prophecies')
(13, 4.0, 'Meditations on Middle Earth: New Writing on the Worlds of J')
(13, 4.5, '110 Stories: New York Writes After September 11')
(13, 4.0, 'Meditations on Middle Earth')
(13, 4.5, 'Anarchism and Other Essays')
(13, 4.5, 'The Tain: Translated from the Irish Epic Tain Bo Cuailnge')
(12, 5.0, 'The Deer and The Cauldron')
(12, 4.5, 'Bingo Night at the Fire Hall: Rediscovering Life in an American Village')
(12, 4.5, 'Some Horses : Essays ')
(12, 5.0, 'The Complete Poetry & Prose of William Blake')
(12, 4.5, 'Casebook: ')
(12, 4.5, 'The New Bloomsday Book: A Guide Through Ulysses')
(12, 4.5, 'A ')
(12, 4.5, 'Inferno ')
(12, 4.5, 'Way to Rainy Mountain')
(12, 4.5, 'Lifesaving: A Memoir')
(12, 4.5, 'Mythologies')
(12, 4.5, 'The DANGEROUS SUMMER')
(12, 4.5, "Children's Book of Virtues")
(12, 2.5, 'My Antonia ')
(12, 4.0, 'On Deconstruction: Theory and Criticism After Structuralism')
(12, 5.0, 'The Quiet American ')
(12, 4.0, 'Realms of Tolkien: Images of Middle')
(12, 4.0, 'War Music: An Account of Books 1')
(12, 4.0, 'AGAINST INTERPRETATION')
(12, 4.5, 'Some Horses')
(11, 5.0, 'The Color of Blood')
(11, 4.5, "What the Dormouse Said : Lessons for Grownups from Children's Books")
(11, 3.0, "Frodo's Quest : Living the Myth The Lord of the Rings")
(11, 4.0, 'The Fisher King: A Novel')
(11, 5.0, 'The Meaning of Shakespeare ')
(11, 4.5, 'Playing In The Dark : Whiteness and the Literary Imagination')
(11, 4.5, 'Supernatural Horror in Literature')
(11, 4.5, "Amelia Peabody's Egypt: A Compendium")
(11, 4.5, 'Reflections on Exile and Other Essays ')
(11, 4.5, 'Reflections on Exile and Other Essays')
(11, 5.0, 'The Meaning of Shakespeare')
(11, 4.5, 'The Comedy of Errors ')
(11, 4.0, 'Against Interpretation : And Other Essays')
(11, 4.0, 'Death in Venice and Other Tales')
(11, 4.0, 'Out of Sheer Rage: Wrestling With D')
(11, 5.0, 'An Experiment in Criticism ')
(11, 3.5, 'Stand and Be Counted: Making Music')
(11, 4.5, 'Playing in the Dark : Whiteness and the Literary Imagination')
(11, 3.5, 'Harp of Burma ')
(11, 4.5, 'The 50 Greatest Love Letters of All Time')

